,date,lower_confidence_interval,upper_confidence_interval,predicted_value
7510,2021-10-23,127704.87061819226,140325.96036099776,133957.71360552692
7511,2021-10-24,127645.70731949495,140536.75753661283,133980.07385511443
7512,2021-10-25,128812.58316691518,141327.6612013316,134940.03547192996
7513,2021-10-26,128512.51473097103,141291.03891842638,134978.0693778185
7514,2021-10-27,128508.73740173983,141206.31845200266,134983.01529989514
7515,2021-10-28,128740.40365481592,141038.34691926383,134995.7482518882
7516,2021-10-29,128286.86014760392,141247.53258654117,134997.63930945235
7517,2021-10-30,127702.86287138057,140791.9371885938,134101.90690954876
7518,2021-10-31,127658.91048141662,140297.18347266162,134122.08259597764
7519,2021-11-01,128951.6879502248,141409.26088234375,135081.26494763527
7520,2021-11-02,128490.95973603777,141187.97950519322,135119.8951241498
7521,2021-11-03,128939.14990067261,141508.45426118962,135126.74022661528
7522,2021-11-04,128923.41758981664,141341.83743175011,135142.5619906029
7523,2021-11-05,128471.72427294402,141063.95804510787,135148.58074364872
7524,2021-11-06,127636.19119246372,140299.96290382522,134257.83077636987
7525,2021-11-07,127971.79724384712,140390.369291923,134283.6309491302
7526,2021-11-08,129234.68999189785,141715.28842601195,135248.84415380133
7527,2021-11-09,128975.29547515401,141631.12766021836,135293.65893433883
7528,2021-11-10,128711.7110182912,141546.29822449884,135306.57932195542
7529,2021-11-11,128973.776697267,141956.98819456116,135328.1002525755
